,Title,Artist,Lyrics
83,All Along the Watchtower,Bob Dylan,"'""There must be some way out of here""\nSaid the joker to the thief\n""There\'s too much confusion\nI can\'t get no relief\nBusinessmen, they drink my wine\nPlowmen dig my earth\nNone of them along the line\nKnow what any of it is worth""\n\n""No reason to get excited""\nThe thief, he kindly spoke\n""There are many here among us\nWho feel that life is but a joke\nBut you and I, we\'ve been through that\nAnd this is not our fate\nSo let us not talk falsely now\nThe hour is getting late""\n\nAll along the watchtower\nPrinces kept the view\nWhile all the women came and went\nBarefoot servants too\nOutside, in the distance\nA wildcat did growl\nTwo riders were approaching\nThe wind began to howl42EmbedShare URLCopyEmbedCopy'"
84,Like a Rolling Stone,Bob Dylan,"'Once upon a time you dressed so fine\nThrew the bums a dime in your prime, didn\'t you?\nPeople call, say ""Beware doll, you\'re bound to fall""\nYou thought they were all a-kiddin\' you\nYou used to laugh about\nEverybody that was hangin\' out\nNow you don\'t talk so loud\nNow you don\'t seem so proud\nAbout having to be scrounging your next meal\n\nHow does it feel?\nHow does it feel?\nTo be without a home?\nLike a complete unknown?\nLike a rolling stone?\n\nAw, you\'ve gone to the finest school all right, Miss Lonely\nBut ya know ya only used to get juiced in it\nNobody\'s ever taught ya how to live out on the street\nAnd now you’re gonna have to get used to it\nYou say you never compromise\nWith the mystery tramp, but now you realize\nHe\'s not selling any alibis\nAs you stare into the vacuum of his eyes\nAnd say, “Do you want to make a deal?""\nHow does it feel?\nHow does it feel?\nTo be on your own\nWith no direction home\nA complete unknown\nLike a rolling stone?\n\nAw, you never turned around to see the frowns\nOn the jugglers and the clowns when they all did tricks for you\nNever understood that it ain\'t no good\nYou shouldn\'t let other people get your kicks for you\nYou used to ride on a chrome horse with your diplomat\nWho carried on his shoulder a Siamese cat\nAin\'t it hard when you discover that\nHe really wasn\'t where it\'s at\nAfter he took from you everything he could steal?\n\nHow does it feel?\nHow does it feel?\nTo hang on your own\nWith no direction home\nLike a complete unknown\nLike a rolling stone?\nAw, princess on the steeple and all the pretty people\nThey\'re all drinkin\', thinkin\' that they got it made\nExchangin\' all precious gifts\nBut you\'d better take your diamond ring, ya better pawn it, babe\nYou used to be so amused\nAt Napoleon in rags and the language that he used\nGo to him now, he calls ya, ya can\'t refuse\nWhen ya ain\'t got nothin\', you got nothin\' to lose\nYou\'re invisible now, ya got no secrets to conceal\nHow does it feel?\nAw, how does it feel?\nTo be on your own\nWith no direction home\nLike a complete unknown\nLike a rolling stone?62EmbedShare URLCopyEmbedCopy'"
85,Make You Feel My Love,Bob Dylan,"""When the rain is blowing in your face\nAnd the whole world is on your case\nI could offer you a warm embrace\nTo make you feel my love\n\nWhen the evening shadows and the stars appear\nAnd there is no one there to dry your tears\nI could hold you for a million years\nTo make you feel my love\n\nI know you haven’t made your mind up yet\nBut I would never do you wrong\nI’ve known it from the moment that we met\nNo doubt in my mind where you belong\n\nI’d go hungry, I’d go black and blue\nI’d go crawling down the avenue\nThere’s nothing that I wouldn’t do\nTo make you feel my love\n\nThe storms are raging on the rolling sea\nAnd on the highway of regret\nThe winds of change are blowing wild and free\nYou ain't seen nothing like me yet\nI could make you happy, make your dreams come true\nNothing that I wouldn’t do\nGo to the ends of the earth for you\nTo make you feel my love10EmbedShare URLCopyEmbedCopy"""
86,Hurricane,Bob Dylan,"'Pistol shots ring out in the barroom night\nEnter Patty Valentine from the upper hall\nShe sees the bartender in a pool of blood\nCries out, “My God, they killed them all!”\n\nHere comes the story of the Hurricane\nThe man the authorities came to blame\nFor something that he never done\nPut in a prison cell, but one time he could-a been\nThe champion of the world\n\nThree bodies lyin\' there\nDoes Patty see\nAnd another man named Bello\nMoving around mysteriously\n“I didn’t do it,” he says\nAnd he throws up his hands\n“I was only robbin\' the register\nI hope you understand\n\nI saw them leaving,” he says, and he stops\n“One of us had better call up the cops”\nAnd so Patty calls the cops\nAnd they arrive on the scene\nWith their red lights flashin\'\nIn the hot New Jersey night\nMeanwhile, far away in another part of town\nRubin Carter and a couple of friends are drivin\' around\nNumber one contender for the middleweight crown\nHad no idea what kinda shit was about to go down\n\nWhen a cop pulled him over to the side of the road\nJust like the time before and the time before that\nIn Paterson that’s just the way things go\nIf you’re black\nYou might as well not show up on the street\nUnless you want to draw the heat\n\nAlfred Bello had a partner and he had a rap for the cops\nHim and Arthur Dexter Bradley were just out prowling around\nHe said, “I saw two men running out\nThey looked like middleweights\nThey jumped into a white car with out-of-state plates”\n\nAnd Miss Patty Valentine just nodded her head\nCop said, “Wait a minute, boys, this one’s not dead”\nSo they took him to the infirmary\nAnd though this man could hardly see\nThey told him that he could identify the guilty men\nFour in the morning and they haul Rubin in\nThey take him to the hospital and they brought him upstairs\nThe wounded man looks up through his one dying eye\nSays, “Why did you bring him in here for?\nHe ain\'t the guy!”\n\nHere’s the story of the Hurricane\nThe man the authorities came to blame\nFor something that he never done\nPut in a prison cell, but one time he could-a been\nThe champion of the world\n\nFour months later, the ghettos are in flame\nRubin’s in South America, fighting for his name\nWhile Arthur Dexter Bradley’s still in the robbery game\nAnd the cops are putting the screws to him\nLookin\' for somebody to blame\n\n“Remember that murder that happened in a bar?”\n“Remember you said you saw the getaway car?”\n“You think you’d like to play ball with the law?”\n“Think it might-a been that fighter that you saw\nRunning that night?”\n“Don’t forget that you are white”\nArthur Dexter Bradley said, “I’m really not sure”\nThe cops said, “A poor boy like you could use a break\nWe got you for the motel job\nAnd we’re talking to your friend Bello\nNow you don’t want to have to go back to jail\nBe a nice fellow\n\nYou’ll be doing society a favor\nThat son of a bitch is brave and gettin\' braver\nWe want to put his ass in stir\nWe want to pin this triple murder\nOn him\nHe ain’t no Gentleman Jim”\n\nRubin could take a man out with just one punch\nBut he never did like to talk about it all that much\n""It’s my work"", he’d say, ""and I do it for pay\nAnd when it’s over I’d just as soon go on my way""\n\nUp to some paradise\nWhere the trout streams flow and the air is nice\nAnd ride a horse along a trail\nBut then they took him to the jailhouse\nWhere they try to turn a man\nInto a mouse\n\nAll of Rubin’s cards were marked in advance\nThe trial was a pig-circus\nHe never had a chance\nThe judge made Rubin’s witnesses\nDrunkards from the slums\nTo the white folks who watched\nHe was a revolutionary bum\n\nAnd to the black folks he was just a crazy nigga\nNo one doubted that he pulled the trigger\nAnd though they could not produce the gun\nThe D.A. said he was the one\nWho did the deed\nAnd the all-white jury agreed\n\nRubin Carter was falsely tried\nThe crime was murder “one,”\nGuess who testified?\nBello and Bradley and they both baldly lied\nAnd the newspapers, they all went along for the ride\n\nHow can the life of such a man\nBe in the palm of some fool’s hand?\nTo see him obviously framed\nCouldn’t help but make me feel ashamed\nTo live in a land\nWhere justice is a game\n\nNow all the criminals in their coats and their ties\nAre free to drink Martinis\nAnd watch the sun rise\nWhile Rubin sits like Buddha\nIn a ten-foot cell\nAn innocent man in a living hell\n\nYes that’s the story of the Hurricane\nBut it won’t be over till they clear his name\nAnd give him back the time he’s done\nPut in a prison cell, but one time he could-a been\nThe champion of the world24EmbedShare URLCopyEmbedCopy'"
87,"Don’t Think Twice, It’s All Right",Bob Dylan,"'Well, it ain\'t no use to sit and wonder why, babe\nIf\'n you don\'t know by now\nAnd it ain\'t no use to sit and wonder why, babe\nIt\'ll never do somehow\nWhen your rooster crows at the break of dawn\nLook out your window and I\'ll be gone\nYou\'re the reason I\'m a-traveling on\nBut don\'t think twice, it\'s all right\n\nAnd it ain\'t no use in a-turning on your light, babe\nThe light I never knowed\nAnd it ain\'t no use in turning on your light, babe\nI\'m on the dark side of the road\nBut I wish there was something you would do or say\nTo try and make me change my mind and stay\nBut we never did too much talking anyway\nBut don\'t think twice, it\'s all right\n\nSo it ain\'t no use in calling out my name, gal\nLike you never done before\nAnd it ain\'t no use in calling out my name, gal\nI can\'t hear you anymore\nI\'m a-thinking and a-wondering, walking down the road\nI once loved a woman, a child, I\'m told\nI give her my heart but she wanted my soul\nBut don\'t think twice, it\'s all right\nSo long, honey babe\nWhere I\'m bound, I can\'t tell\nGoodbye\'s too good a word, babe\nSo I\'ll just say, ""Fare thee well""\nI ain\'t a-saying you treated me unkind\nYou could\'ve done better, but I don\'t mind\nYou just kinda wasted my precious time\nBut don\'t think twice, it\'s all right27EmbedShare URLCopyEmbedCopy'"
88,Mr. Tambourine Man,Bob Dylan,"""Hey Mr. Tambourine Man, play a song for me\nI'm not sleepy and there is no place I'm going to\nHey Mr. Tambourine Man, play a song for me\nIn the jingle jangle mornin' I'll come followin' you\n\nThough I know that evening's empire has returned into sand\nVanished from my hand\nLeft me blindly here to stand, but still not sleeping\nMy weariness amazes me, I am branded on my feet\nI have no one to meet\nAnd my ancient empty street's too dead for dreaming\n\nHey Mr. Tambourine Man, play a song for me\nI'm not sleepy and there is no place I'm going to\nHey Mr. Tambourine Man, play a song for me\nIn the jingle jangle mornin' I'll come followin' you\n\nTake me on a trip upon your magic swirlin' ship\nMy senses have been stripped, my hands can't feel to grip\nMy toes too numb to step, wait only for my boot heels\nTo be wandering\nI'm ready to go anywhere, I'm ready for to fade\nInto my own parade, cast your dancin' spell my way\nI promise to go under it\nHey Mr. Tambourine Man, play a song for me\nI'm not sleepy and there is no place I'm going to\nHey Mr. Tambourine Man, play a song for me\nIn the jingle jangle mornin' I'll come followin' you\n\nThough you might hear laughing, spinning, swinging madly across the sun\nIt's not aimed at anyone, it's just escaping on the run\nAnd but for the sky there are no fences facing\nAnd if you hear vague traces of skipping reels of rhyme\nTo your tambourine in time, it's just a ragged clown behind\nI wouldn't pay it any mind\nIt's just a shadow you're seeing that he's chasing\n\nHey Mr. Tambourine Man, play a song for me\nI'm not sleepy and there is no place I'm going to\nHey Mr. Tambourine Man, play a song for me\nIn the jingle jangle mornin' I'll come followin' you\n\nAnd take me disappearing through the smoke rings of my mind\nDown the foggy ruins of time, far past the frozen leaves\nThe haunted, frightened trees, out to the windy beach\nFar from the twisted reach of crazy sorrow\nYes, to dance beneath the diamond sky with one hand waving free\nSilhouetted by the sea, circled by the circus sands\nWith all memory and fate driven deep beneath the waves\nLet me forget about today until tomorrow\nHey Mr. Tambourine Man, play a song for me\nI'm not sleepy and there is no place I'm going to\nHey Mr. Tambourine Man, play a song for me\nIn the jingle jangle mornin' I'll come followin' you24EmbedShare URLCopyEmbedCopy"""
89,A Hard Rain’s A-Gonna Fall,Bob Dylan,"'Oh, where have you been, my blue-eyed son?\nAnd where have you been, my darling young one?\nI’ve stumbled on the side of twelve misty mountains\nI’ve walked and I’ve crawled on six crooked highways\nI’ve stepped in the middle of seven sad forests\nI’ve been out in front of a dozen dead oceans\nI’ve been ten thousand miles in the mouth of a graveyard\n\nAnd it’s a hard, and it’s a hard, it’s a hard, it’s a hard\nIt’s a hard rain’s a-going to fall\n\nOh, what did you see, my blue-eyed son?\nAnd what did you see, my darling young one?\nI saw a newborn baby with wild wolves all around it\nI saw a highway of diamonds with nobody on it\nI saw a black branch with blood that kept dripping\nI saw a room full of men with their hammers a-bleeding\nI saw a white ladder all covered with water\nI saw ten-thousand talkers whose tongues were all broken\nI saw guns and sharp swords in the hands of young children\n\nAnd it’s a hard, it’s a hard, it’s a hard, and it’s a hard\nIt’s a hard rain’s a-going to fall\nAnd what did you hear, my blue-eyed son?\nAnd what did you hear, my darling young one?\nI heard the sound of a thunder that roared out a warning\nI heard the roar of a wave that could drown the whole world\nI heard one hundred drummers whose hands were a-blazing\nI heard ten-thousand whispering and nobody listening\nI heard one person starve, I heard many people laughing\nI heard the song of a poet who died in the gutter\nI heard the sound of a clown who cried in the alley\n\nAnd it’s a hard, it’s a hard, it’s a hard, it’s a hard\nIt’s a hard rain’s a-going to fall\n\nOh, what did you meet, my blue-eyed son?\nAnd who did you meet, my darling young one?\nI met a young child beside a dead pony\nI met a white man who walked a black dog\nI met a young woman, her body was burning\nI met a young girl, she gave me a rainbow\nI met one man who was wounded in love\nI met another man who was wounded in hatred\n\nAnd it’s a hard, it’s a hard, it’s a hard, it’s a hard\nIt’s a hard rain’s a-going to fall\nAnd what will you do now, my blue-eyed son?\nAnd what will you do now, my darling young one?\nI’m a-going back out ’fore the rain starts a-falling\nI’ll walk to the depths of the deepest dark forest\nWhere the people are many and their hands are all empty\nWhere the pellets of poison are flooding their waters\nWhere the home in the valley meets the damp dirty prison\nAnd the executioner’s face is always well hidden\nWhere hunger is ugly, where the souls are forgotten\nWhere black is the color, where none is the number\nAnd I’ll tell it, and speak it, and think it, and breathe it\nAnd reflect from the mountain so all souls can see it\nThen I’ll stand on the ocean until I start sinking\nBut I’ll know my song well before I start singing\n\nAnd it’s a hard, it’s a hard, it’s a hard, and it’s a hard\nIt’s a hard rain’s a-going to fall24EmbedShare URLCopyEmbedCopy'"
90,Subterranean Homesick Blues,Bob Dylan,"""Johnny's in the basement, mixin' up the medicine\nI'm on the pavement, thinkin' about the government\nThe man in a trench coat, badge out, laid off\nSays he's got a bad cough, wants to get it paid off\nLook out kid, it's somethin' you did\nGod knows when, but you're doin' it again\nYou better duck down the alleyway, looking for a new friend\nThe man in the coon-skin cap in a pig pen\nWants 11 dollar bills – you only got 10\n\nMaggie comes fleet foot, face full of black soot\nTalkin' that the heat put plants in the bed, but\nPhone's tapped anyway\nMaggie says the many say\nThey must bust in early May\nOrders from the D.A\nLook out kid, don't matter what you did\nWalk on your tip toes, don’t tie no bows\nBetter stay away from those that carry around a fire hose\nKeep a clean nose, watch the plainclothes\nYou don't need a weather man to know which way the wind blows\n\nOh, get sick, get well, hang around a ink well\nHang bail, hard to tell if anything is gonna sell\nTry hard, get barred, get back, ride rail\nGet jailed, jump bail, join the Army if you fail\nLook out kid, you're gonna get hit\nBy losers, cheaters, six-time users\nHanging 'round the theaters\nGirl by the whirlpool's looking for a new fool\nDon't follow leaders, a-watch the parking meters\nOh, get born, keep warm\nShort pants, romance\nLearn to dance, get dressed\nGet blessed, try to be a success\nPlease her, please him, buy gifts\nDon't steal, don't lift\n20 years of schoolin' and they put you on the day shift\nLook out kid, they keep it all hid\nBetter jump down a manhole, light yourself a candle\nDon't wear sandals, try to avoid the scandals\nDon't want to be a bum, you better chew gum\nThe pump don't work 'cause the vandals took the handles35EmbedShare URLCopyEmbedCopy"""
91,Desolation Row,Bob Dylan,"'They\'re selling postcards of the hanging\nThey\'re painting the passports brown\nThe beauty parlor is filled with sailors\nThe circus is in town\nHere comes the blind commissioner\nThey\'ve got him in a trance\nOne hand is tied to the tight-rope walker\nThe other is in his pants\n\nAnd the riot squad, they\'re restless\nThey need somewhere to go\nAs Lady and I look out tonight\nFrom Desolation Row\n\nCinderella, she seems so easy\n""It takes one to know one,"" she smiles\nAnd puts her hands in her back pockets\nBette Davis style\nAnd in comes Romeo, he\'s moaning\n""You Belong to Me, I Believe""\nAnd someone says, ""You\'re in the wrong place, my friend\nYou\'d better leave""\nAnd the only sound that\'s left\nAfter the ambulances go\nIs Cinderella sweeping up\nOn Desolation Row\n\nNow the moon is almost hidden\nThe stars are beginning to hide\nThe fortune-telling lady\nHas even taken all her things inside\nAll except for Cain and Abel\nAnd the hunchback of Notre Dame\nEverybody is making love\nOr else expecting rain\n\nAnd the Good Samaritan, he\'s dressing\nHe\'s getting ready for the show\nHe\'s going to the carnival tonight\nOn Desolation Row\n\nOphelia, she\'s \'neath the window\nFor her I feel so afraid\nOn her twenty-second birthday\nShe already is an old maid\nTo her, death is quite romantic\nShe wears an iron vest\nHer profession\'s her religion\nHer sin is her lifelessness\nAnd though her eyes are fixed upon\nNoah\'s great rainbow\nShe spends her time peeking\nInto Desolation Row\n\nEinstein, disguised as Robin Hood\nWith his memories in a trunk\nPassed this way an hour ago\nWith his friend, a jealous monk\nNow he looked so immaculately frightful\nAs he bummed a cigarette\nThen he went off sniffing drainpipes\nAnd reciting the alphabet\n\nYou would not think to look at him\nBut he was famous long ago\nFor playing the electric violin\nOn Desolation Row\n\nDr. Filth, he keeps his world\nInside of a leather cup\nBut all his sexless patients\nThey\'re trying to blow it up\nNow his nurse, some local loser\nShe\'s in charge of the cyanide hole\nAnd she also keeps the cards that read\n""Have mercy on his soul""\nThey all play on the pennywhistle\nYou can hear them blow\nIf you lean your head out far enough\nFrom Desolation Row\n\nAcross the street they\'ve nailed the curtains\nThey\'re getting ready for the feast\nThe Phantom of the Opera\nIn a perfect image of a priest\nThey are spoon feeding Casanova\nTo get him to feel more assured\nThen they\'ll kill him with self-confidence\nAfter poisoning him with words\n\nAnd the Phantom\'s shouting to skinny girls\n""Get outta here if you don\'t know\nCasanova is just being punished for going\nTo Desolation Row""\n\nAt midnight all the agents\nAnd the superhuman crew\nCome out and round up everyone\nThat knows more than they do\nThen they bring them to the factory\nWhere the heart attack machine\nIs strapped across their shoulders\nAnd then the kerosene\n\nIs brought down from the castles\nBy insurance men who go\nCheck to see that nobody is escaping\nTo Desolation Row\n\nPraise be to Nero\'s Neptune\nThe Titanic sails at dawn\nEverybody\'s shouting\n""Which side are you on?""\nAnd Ezra Pound and T. S. Eliot\nFighting in the captain\'s tower\nWhile calypso singers laugh at them\nAnd fishermen hold flowers\n\nBetween the windows of the sea\nWhere lovely mermaids flow\nAnd nobody has to think too much\nAbout Desolation Row\n\n\nYes, I received your letter yesterday\nAbout the time the doorknob broke\nWhen you asked me how I was doing\nWas that some kinda joke?\nAll these people that you mention\nYes, I know them, they\'re quite lame\nI had to rearrange their faces\nAnd give them all another name\n\nRight now, I can\'t read too good\nDon\'t send me no more letters, no\nNot unless you mail them\nFrom Desolation Row\n14EmbedShare URLCopyEmbedCopy'"
92,Tangled Up in Blue,Bob Dylan,"'Early one morning the sun was shining\nI was laying in bed\nWondering if she\'d changed at all\nIf her hair was still red\nHer folks they said our lives together\nSure was going to be rough\nThey never did like Mama\'s homemade dress\nPapa\'s bankbook wasn\'t big enough\nAnd I was standing on the side of the road\nRain falling on my shoes\nHeading out for the East Coast\nLord knows I\'ve paid some dues\nGetting through\nTangled up in blue\n\nShe was married when we first met\nSoon to be divorced\nI helped her out of a jam, I guess\nBut I used a little too much force\nWe drove that car as far as we could\nAbandoned it out West\nSplit up on a dark sad night\nBoth agreeing it was best\nShe turned around to look at me\nAs I was walking away\nI heard her say over my shoulder\n""We\'ll meet again someday\nOn the avenue""\nTangled up in blue\nI had a job in the great north woods\nWorking as a cook for a spell\nBut I never did like it all that much\nAnd one day the ax just fell\nSo I drifted down to New Orleans\nWhere I lucky was to be employed\nWorking for a while on a fishing boat\nRight outside of Delacroix\nBut all the while I was alone\nThe past was close behind\nI seen a lot of women\nBut she never escaped my mind\nAnd I just grew\nTangled up in blue\n\nShe was working in a topless place\nAnd I stopped in for a beer\nI just kept looking at the side of her face\nIn the spotlight, so clear\nAnd later on, when the crowd thinned out\nI was just about to do the same\nShe was standing there, in back of my chair\nSaid to me ""Tell me, don\'t I know your name?""\nI muttered something underneath my breath\nShe studied the lines on my face\nI must admit, I felt a little uneasy\nWhen she bent down to tie the laces\nOf my shoe\nTangled up in blue\nShe lit a burner on the stove\nAnd offered me a pipe\n""I thought you\'d never say hello"" she said\n""You look like the silent type""\nThen she opened up a book of poems\nAnd handed it to me\nWritten by an Italian poet\nFrom the thirteenth century\nAnd every one of them words rang true\nAnd glowed like burning coal\nPouring off of every page\nLike it was written in my soul\nFrom me to you\nTangled up in blue\n\nI lived with them on Montague Street\nIn a basement down the stairs\nThere was music in the cafes at night\nAnd revolution in the air\nThen he started into dealing with slaves\nAnd something inside of him died\nShe had to sell everything she owned\nAnd froze up inside\nAnd when it finally, the bottom fell out\nI became withdrawn\nThe only thing I knew how to do\nWas to keep on keeping on\nLike a bird that flew\nTangled up in blue\nSo now I\'m going back again\nI got to get to her somehow\nAll the people we used to know\nThey\'re an illusion to me now\nSome are mathematicians\nSome are carpenter\'s wives\nDon\'t know how it all got started\nI don\'t know what they\'re doing with their lives\nBut me, I\'m still on the road\nA-heading for another joint\nWe always did feel the same\nWe just saw it from a different point\nOf view\nTangled up in blue23EmbedShare URLCopyEmbedCopy'"
93,Knockin’ on Heaven’s Door,Bob Dylan,"""Ooh, ooh\nOoh, ooh\n\nMama, take this badge off of me\nI can’t use it anymore\nIt’s getting dark, too dark to see\nI feel I’m knockin' upon heaven’s door\n\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven's door\n\nMama, put my guns in the ground\nI can’t shoot them anymore\nThat long black cloud is coming down\nI feel I’m knockin' on heaven’s door\n\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven’s door\nKnock, knock, knockin' on heaven's door\nOoh, ooh\nOoh, ooh15EmbedShare URLCopyEmbedCopy"""
94,Masters of War,Bob Dylan,"""Come, you masters of war\nYou that build the big guns\nYou that build the death planes\nYou that build all the bombs\nYou that hide behind walls\nYou that hide behind desks\nI just want you to know\nI can see through your masks\n\nYou that never done nothing\nBut build to destroy\nYou play with my world\nLike it's your little toy\nYou put a gun in my hand\nAnd you hide from my eyes\nAnd you turn and run farther\nWhen the fast bullets fly\n\nLike Judas of old\nYou lie and deceive\nA world war can be won\nYou want me to believe\nBut I see through your eyes\nAnd I see through your brain\nLike I see through the water\nThat runs down my drain\nYou fasten all the triggers\nFor the others to fire\nThen you set back and watch\nWhile the death count gets higher\nYou hide in your mansion\nWhile the young people's blood\nFlows out of their bodies\nAnd is buried in the mud\n\nYou've thrown the worst fear\nThat can ever be hurled\nFear to bring children\nInto the world\nFor threatening my baby\nUnborn and unnamed\nYou ain't worth the blood\nThat runs in your veins\n\nHow much do I know\nTo talk out of turn?\nYou might say that I'm young\nYou might say I'm unlearned\nBut there's one thing I know\nThough I'm younger than you\nThat even Jesus would never\nForgive what you do\nLet me ask you one question\nIs your money that good?\nWill it buy you forgiveness?\nDo you think that it could?\nI think you will find\nWhen your death takes its toll\nAll the money you made\nWill never buy back your soul\n\nAnd I hope that you die\nAnd your death will come soon\nI will follow your casket\nBy the pale afternoon\nAnd I'll watch while you're lowered\nDown to your deathbed\nAnd I'll stand over your grave\n'Til I'm sure that you're dead19EmbedShare URLCopyEmbedCopy"""
95,Girl from the North Country,Bob Dylan,"""If you’re travelin' in the north country fair\nWhere the winds hit heavy on the borderline\nRemember me to one who lives there\nFor she once was a true love of mine\n\nIf you go when the snowflakes storm\nWhen the rivers freeze and summer ends\nPlease see if she has a coat so warm\nTo keep her from the howling winds\n\nPlease see if her hair hangs long\nIf it rolls and flows all down her breast\nPlease see for me if her hair's hangin' long\nFor that’s the way I remember her best\n\nI’m a-wondering if she remembers me at all\nMany times I’ve often prayed\nIn the darkness of my night\nIn the brightness of my day\n\nSo if you’re travelin' the north country fair\nWhere the winds hit heavy on the borderline\nRemember me to one who lives there\nFor she once was a true love of mine16EmbedShare URLCopyEmbedCopy"""
96,"It’s Alright, Ma (I’m Only Bleeding)",Bob Dylan,"'Darkness at the break of noon\nShadows even the silver spoon\nThe handmade blade, the child\'s balloon\nEclipses both the sun and moon\nTo understand you know too soon\nThere is no sense in trying\n\nPointed threats they bluff with scorn\nSuicide remarks are torn\nFrom the fools gold mouthpiece the hollow horn\nPlays wasted words, proves to warn\nThat he not busy being born\nIs busy dying\n\nTemptation\'s page flies out the door\nYou follow, find yourself at war\nWatch waterfalls of pity roar\nYou feel to moan, but unlike before\nYou discover that you\'d just be one more\nPerson crying\n\nSo don\'t fear if you hear\nA foreign sound to your ear\nIt\'s alright, Ma, I\'m only sighing\nAs some warn victory, some downfall\nPrivate reasons, great or small\nCan be seen in the eyes of those that call\nTo make all that should be killed to crawl\nWhile others say don\'t hate nothing at all\nExcept hatred\n\nDisillusioned words like bullets bark\nAs human gods aim for their mark\nMake everything from toy guns that spark\nTo flesh-colored Christs that glow in the dark\nIt\'s easy to see without lookin\' too far\nThat not much is really sacred\n\nWhile preachers preach of evil fates\nTeachers teach that knowledge waits\nCan lead to hundred-dollar plates\nGoodness hides behind its gates\nBut even the President of the United States\nSometimes must have to stand naked\n\nAnd though the rules of the road have been lodged\nIt\'s only people\'s games that you got to dodge\nAnd it\'s alright, Ma, I can make it\nAdvertising signs that con\nYou into thinking you\'re the one\nThat can do what\'s never been done\nThat can win what\'s never been won\nMeantime, life outside goes on\nAll around you\n\nYou lose yourself, you reappear\nYou suddenly find you got nothing to fear\nAlone you stand with nobody near\nWhen a trembling distant voice, unclear\nStartles your sleeping ears to hear\nThat somebody thinks they really found you\n\nA question in your nerves is lit\nYet you know there is no answer fit\nTo satisfy, ensure you not to quit\nTo keep it in your mind and not forget\nThat it is not he, or she, or them, or it\nThat you belong to\n\nBut though the masters make the rules\nFor the wise men and the fools\nI got nothing, Ma, to live up to\nFor them that must obey authority\nThat they do not respect in any degree\nWho despise their jobs, their destiny\nSpeak jealously of them that are free\nDo what they do just to be\nNothing more than something they invest in\n\nWhile some on principles baptized\nTo strict party platform ties\nSocial clubs in drag disguise\nOutsiders they can freely criticize\nTell nothing except who to idolize\nAnd say ""God bless him""\n\nWhile one who sings with his tongue on fire\nGargles in the rat race choir\nBent out of shape from society\'s pliers\nCares not to come up any higher\nBut rather get you down in the hole\nThat he\'s in\n\nBut I mean no harm, nor put fault\nOn anyone that lives in a vault\nBut it\'s alright, Ma, if I can\'t please him\n\nOld lady judges watch people in pairs\nLimited in sex, they dare\nTo push fake morals, insult and stare\nWhile money doesn\'t talk, it swears\nObscenity, who really cares\nPropaganda, all is phony\n\nWhile them that defend what they cannot see\nWith a killer\'s pride, security\nIt blows the minds most bitterly\nFor them that think death\'s honesty\nWon\'t fall upon \'em naturally\nLife sometimes must get lonely\n\nMy eyes collide head-on with stuffed\nGraveyards, false goals, I scuff\nAt pettiness which plays so rough\nWalk upside down inside handcuffs\nKick my legs to crash it off\nSay, okay, I\'ve had enough\nWhat else can you show me?\n\nAnd if my thought-dreams could be seen\nThey\'d probably put my head in a guillotine\nBut it\'s alright, Ma, it\'s life, and life only17EmbedShare URLCopyEmbedCopy'"
97,"It’s All Over Now, Baby Blue",Bob Dylan,"""You must leave now\nTake what you need, you think will last\nBut whatever you wish to keep, you better grab it fast\nYonder stands your orphan with his gun\nCrying like a fire in the sun\n\nLook out, the saints are coming through\nAnd it's all over now, Baby Blue\n\nThe highway is for gamblers, better use your sense\nTake what you have gathered from coincidence\nThe empty handed painter from your streets\nIs drawing crazy patterns on your sheets\n\nThe sky, too, is folding under you\nAnd it's all over now, Baby Blue\n\nAll your seasick sailors, they are rowing home\nYour empty-handed armies are all going home\nYour lover who just walked out the door\nHas taken all his blankets from the floor\nThe carpet, too, is moving under you\nAnd it's all over now, Baby Blue\n\nLeave your stepping stones behind\nThere's something that calls for you\nForget the dead you've left\nThey will not follow you\nThe vagabond who's rapping at your door\nIs standing in the clothes that you once wore\n\nStrike another match, go start anew\nAnd it's all over now, Baby Blue13EmbedShare URLCopyEmbedCopy"""
